Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Joel Kramer,,3,2.9,1.4,1,0.8,NA,NA,NA
James Singleton,88.6,3,2.3,1.1,1,0.7,NA,NA,NA
Mark Alarie,87.2,3.1,2.2,1.5,0.9,0.6,NA,NA,NA
Joey Graham,82.8,3,2.2,1.3,1.1,0.3,0,NA,NA
Jahidi White,81.5,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,NA
Darren Daye,81.1,3.8,2.4,1.3,1.2,0.6,NA,NA,NA
Bruce Seals,80.8,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Shabazz Muhammad,80.5,2.7,2.7,2,0.7,0.3,NA,NA,NA
Tyrone Nesby,79.7,3.1,2.9,1.3,0.3,NA,NA,NA,NA
Cal Christensen,79.3,3.2,2.9,1.7,0.4,0,NA,NA,NA
Stacey King,79.2,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2
