Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Joel Kramer,,3,2.9,1.4,1,0.8
Brad Lohaus,88.9,3.3,2.7,1.8,0.9,0.9
James Singleton,88.6,3,2.3,1.1,1,0.7
Mark Alarie,87.2,3.1,2.2,1.5,0.9,0.6
Toby Kimball,87.1,3.2,2.5,1.2,1.2,0.4
Ryan Bowen,84.7,3.1,2.1,1.7,1.4,0.8
Corie Blount,83.7,2.6,2.5,1.7,1.2,0.9
Don Adams,83.3,3.6,2.9,0.9,0.8,0.7
Joey Graham,83.3,3,2.2,1.3,1.1,0.3
Jared Jeffries,83.2,3.1,2.6,1.2,0.6,0.3
Don Reid,82.9,2.9,2.8,2.7,1.1,1
