Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,25,TOT,NBA,C,33,0,4.6,0.5,1.2,0.39,0,0,NA,0.5,1.2,0.39,0.39,0.2,0.2,0.625,0.3,0.5,0.8,0.1,0.1,0.2,0.1,0.9,1.1
1995-96,25,ATL,NBA,C,24,0,4.9,0.5,1.3,0.406,0,0,NA,0.5,1.3,0.406,0.406,0.2,0.3,0.625,0.4,0.6,1,0.1,0,0.2,0.1,1,1.3
1995-96,25,BOS,NBA,C,9,0,3.7,0.3,1,0.333,0,0,NA,0.3,1,0.333,0.333,0,0,NA,0.1,0.2,0.3,0.1,0.1,0.1,0,0.7,0.7
Career,NA,,NBA,,33,0,4.6,0.5,1.2,0.39,0,0,NA,0.5,1.2,0.39,0.39,0.2,0.2,0.625,0.3,0.5,0.8,0.1,0.1,0.2,0.1,0.9,1.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,ATL,NBA,,24,0,4.9,0.5,1.3,0.406,0,0,NA,0.5,1.3,0.406,0.406,0.2,0.3,0.625,0.4,0.6,1,0.1,0,0.2,0.1,1,1.3
1 season,NA,BOS,NBA,,9,0,3.7,0.3,1,0.333,0,0,NA,0.3,1,0.333,0.333,0,0,NA,0.1,0.2,0.3,0.1,0.1,0.1,0,0.7,0.7
