Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Irv Torgoff,,5.4,1,0.1
Don MacLean,90.6,5.6,1.1,0.4
Austin Croshere,88.0,5.4,0.3,0
Stephen Jackson,85.6,4.8,0.9,-0.1
Curtis Perry,84.4,4.8,1.3,0.2
Jamal Mashburn,84.2,6.3,0.9,0.2
Alex Hannum,82.8,5.1,1.7,NA
Vern Gardner,82.6,5.9,1.6,-0.1
Rich Jones,82.2,5.8,1.8,0.2
Jim Washington,81.2,4.9,1.3,0.5
Dave Gambee,81.1,5.3,0,NA
