Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Irv Torgoff,,5.4,1,0.1,NA,NA,NA,NA,NA,NA
Vern Gardner,82.6,5.9,1.6,-0.1,NA,NA,NA,NA,NA,NA
Dick Mehen,78.5,5.6,1.9,0.6,NA,NA,NA,NA,NA,NA
Wah Wah Jones,71.3,5.9,2.1,0.8,NA,NA,NA,NA,NA,NA
Donatas Motiejūnas,68.0,4.7,1.4,0.7,0.3,0.2,-0.1,NA,NA,NA
Don MacLean,64.1,5.6,1.5,1.1,0.5,0.4,0.2,0.2,0,-0.2
Archie Dees,58.6,3.7,0.7,0.4,NA,NA,NA,NA,NA,NA
Richard Dumas,57.9,3.9,0.3,0.3,NA,NA,NA,NA,NA,NA
Andy Johnson,57.6,4.6,1.8,1.3,0.3,NA,NA,NA,NA,NA
Harthorne Wingo,57.2,3.9,1.4,0.9,0,NA,NA,NA,NA,NA
Bill Closs,57.0,4.4,2.8,0,NA,NA,NA,NA,NA,NA
