Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,20,DET,NBA,PG,1,1,17:00,5,7,0.714,0,0,NA,2,4,0.5,1,1,4,3,0,1,1,12
1982-83,21,DET,NBA,PG,1,1,29:00,9,14,0.643,0,0,NA,1,1,1,3,4,7,4,0,5,0,19
1983-84,22,DET,NBA,PG,1,1,39:00,9,17,0.529,0,2,0,3,3,1,2,5,15,4,0,6,4,21
1984-85,23,DET,NBA,PG,1,1,25:00,9,14,0.643,3,4,0.75,1,1,1,1,2,5,2,0,1,2,22
1985-86,24,DET,NBA,PG,1,1,36:00,11,19,0.579,0,1,0,8,9,0.889,0,1,10,5,0,5,2,30
1986-87,25,DET,NBA,PG,1,0,24:00,4,6,0.667,0,0,NA,8,9,0.889,2,3,9,0,0,5,3,16
1987-88,26,DET,NBA,PG,1,1,28:00,4,10,0.4,0,0,NA,0,0,NA,1,2,15,1,0,6,1,8
1988-89,27,DET,NBA,PG,1,1,33:00,7,13,0.538,1,3,0.333,4,6,0.667,1,2,14,4,0,6,2,19
1989-90,28,DET,NBA,PG,1,1,27:00,7,12,0.583,1,1,1,0,0,NA,1,4,9,3,0,1,0,15
1990-91,29,DET,NBA,PG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-92,30,DET,NBA,PG,1,1,28:00,7,14,0.5,1,3,0.333,0,0,NA,0,1,5,3,0,3,0,15
1992-93,31,DET,NBA,PG,1,1,32:00,4,7,0.571,0,1,0,0,2,0,0,2,4,2,0,2,2,8
Career,NA,,NBA,,11,10,318,76,133,0.571,6,15,0.4,27,35,0.771,12,27,97,31,0,41,17,185
