,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2006-07,21,UTA,NBA,SG,8,41,.600,5.3,1.000,.500,.300,.100,.100,.000,.600,.800,.667,.000,.000,,.500,.200,2,,,,0,0
2007-08,22,UTA,NBA,SG,12,305,.520,9.7,.939,.480,.020,.082,.357,.061,.543,.681,1.000,.250,.400,.167,.680,.143,14,1.000,.000,,0,0
2008-09,23,UTA,NBA,SF,5,158,.408,12.3,.959,.347,.020,.082,.510,.041,.426,.647,.000,.250,.320,.000,.800,.163,8,,.000,,0,0
2010-11,25,CHI,NBA,SG,16,260,.480,12.6,.860,.340,.100,.040,.380,.140,.488,.765,.000,.000,.421,.429,.810,.100,5,1.000,.286,.500,0,0
2011-12,26,CHI,NBA,SG,5,83,.250,11.3,1.000,.375,.063,.125,.438,.000,.250,.333,.000,.000,.286,,.750,.000,0,,,,0,0
2012-13,27,OKC,NBA,SF,1,8,,,,,,,,,,,,,,,,,0,,,,0,0
Career,,,NBA,,47,855,.471,10.8,.933,.413,.054,.076,.390,.067,.486,.674,.333,.176,.368,.267,.723,.130,29,1.000,.133,.500,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,UTA,NBA,,25,504,.490,10.2,.949,.439,.038,.083,.389,.051,.510,.681,.667,.231,.361,.125,.697,.153,24,1.000,.000,,0,0
2 seasons,,CHI,NBA,,21,343,.424,12.3,.894,.348,.091,.061,.394,.106,.424,.652,.000,.000,.385,.429,.800,.076,5,1.000,.286,.500,0,0
1 season,,OKC,NBA,,1,8,,,,,,,,,,,,,,,,,0,,,,0,0
