,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,25,DLC,ABA,,10,,0,,,,13,14,,,,,,,,,33
1968-69,26,DLC,ABA,,12,,1,,,,10,11,,,,,,,,,31
1969-70,27,DLC,ABA,,11,,0,,,,11,13,,,,,,,,,24
1970-71,28,KEN,ABA,,14,,1,,,,10,13,,,,,,,,,31
1971-72,29,KEN,ABA,,8,12,0,1,8,12,5,5,,,8,2,,,4,5,18
1972-73,30,UTS,ABA,,7,,0,,,,5,6,,,,,,,,,15
1973-74,31,VIR,ABA,,11,,1,,,,4,5,,,,,,,,,25
Career,,,,,14,,1,,,,13,14,,,,,,,,,33
2 Seasons,,KEN,ABA,,14,,1,,,,10,13,,,,,,,,,31
3 Seasons,,DLC,ABA,,12,,1,,,,13,14,,,,,,,,,33
1 Season,,UTS,ABA,,7,,0,,,,5,6,,,,,,,,,15
1 Season,,VIR,ABA,,11,,1,,,,4,5,,,,,,,,,25
