Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Cincinnatus Powell,,8.1,7,6.8,6.4,5.4,4.3,3,0.1
Tobias Harris,91.4,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9
Michael Cage,91.2,7.6,7.2,6.8,6.7,6.7,4.3,3.2,1.7
Danilo Gallinari,90.5,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1
Troy Murphy,89.8,8.5,6.5,6.4,6.2,5.3,4.5,1.4,1.3
Raef LaFrentz,89.1,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9
Rudy LaRusso,89.1,8.8,7.3,7,6.9,5.5,5.4,3.9,1.7
Armen Gilliam,88.9,7.6,6.8,6.6,5.1,4.6,4.5,2.8,1.3
Udonis Haslem,88.8,9.2,7,6,5.7,5.1,4.8,2.5,0.9
Tom Sanders,88.7,7.6,7.5,7.2,6.8,5.5,4.3,4,3
Tristan Thompson,88.7,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1
