Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Cincinnatus Powell,,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA,NA
Tobias Harris,91.4,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA,NA
Tristan Thompson,88.7,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA,NA
Raef LaFrentz,88.0,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2,NA
Kenneth Faried,87.8,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
Sidney Wicks,86.3,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,NA
Bob Netolicky,85.9,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0,NA,NA
Danny Granger,85.4,8,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1,NA
Jamal Mashburn,84.6,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Jim McMillian,84.6,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA
Wil Jones,84.4,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
