Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bernard Thompson,,2.1,0.9,0.2,0.1,0
Ryan Kelly,85.1,2.2,0.7,0.1,0.1,NA
Joey Dorsey,83.8,1.9,0.8,0.1,0,NA
Gerard King,80.6,2.3,0.5,0.2,NA,NA
Billy Schaeffer,79.8,1.9,0.8,0.5,NA,NA
Bill Bunting,79.2,2,0.7,0,NA,NA
Kenny Battle,78.5,1.9,1.3,0.3,0.1,NA
Jim Bradley,78.5,2.3,1.3,0.1,NA,NA
Chris Copeland,78.4,2.1,1,-0.1,-0.1,NA
Monty Williams,78.1,2.3,1.2,0.3,0,-0.1
Michael Ruffin,77.9,1.9,1,0.6,0.2,0
