Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bernard Robinson,,1.7,0.3,0.1,NA,NA,NA
Bobby Wilson,84.7,1.6,0.2,0,-0.1,NA,NA
Gary Phillips,78.1,1.7,0.3,0.2,0.2,-0.1,NA
Tracy Jackson,76.5,1.7,0.7,0,NA,NA,NA
Greg Grant,76.3,1.4,0.2,0,0,0,-0.1
Travis Mays,74.7,2.1,0.3,0,NA,NA,NA
John Kuester,74.6,1.9,0.1,0,NA,NA,NA
Stan Noszka,73.2,1.8,0.4,-0.2,NA,NA,NA
Treveon Graham,71.2,1.8,0.5,0.4,NA,NA,NA
Stephen Graham,68.3,1.6,0.4,0,0,-0.1,-0.3
Terence Stansbury,67.9,1.5,0.6,0.3,NA,NA,NA
