Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Nate Robinson,,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0
Bimbo Coles,89.4,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0
Lester Conner,89.3,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3
Craig Hodges,87.8,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,NA
Hubert Davis,87.4,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1
Blue Edwards,87.3,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1,NA
Kevin Grevey,86.3,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1,NA
Raja Bell,86.1,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,0.5,-0.1
Gerald Henderson,86.1,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1
Quentin Richardson,85.6,5.8,5.8,5.6,3.5,3,2.4,2.1,1.3,1,0.7,0.3
Foots Walker,85.6,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA
