Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
James Hardy,,2.5,1.8,1.3,0.7,NA,NA,NA
Chuck Terry,88.5,2.3,2.1,1.2,0.7,0.1,NA,NA
Brady Walker,88.5,2.8,1.9,1.2,1,NA,NA,NA
George Lee,86.6,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Ronald Thomas,84.6,2.7,2,1.8,0.8,NA,NA,NA
Kenny Williams,84.0,2.7,2.4,1.6,0.7,NA,NA,NA
Al Thornton,83.3,2.2,1.6,1.3,1.1,NA,NA,NA
Bob Brannum,83.2,2,1.6,1.1,0.8,0,NA,NA
Sam Mack,82.3,2.8,1.9,1.3,1.1,0.3,0,-0.1
Bill Hewitt,82.2,2.4,1.7,0.8,0.6,-0.1,-0.2,NA
Al Eberhard,82.0,2.6,1.8,0.9,0,NA,NA,NA
