Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
James Hardy,,2.5,1.8,1.3,0.7
George Lee,94.3,2.6,1.7,1.2,0.6
Corie Blount,92.9,2.5,1.7,1.2,0.9
Robert Traylor,92.2,2.5,1.9,1.2,1
Quincy Acy,89.1,2.5,1.7,1.5,1.1
Omri Casspi,88.6,2.5,2.5,1.2,0.7
Steve Kuberski,88.5,2.6,1.7,1.2,0.2
Brady Walker,88.5,2.8,1.9,1.2,1
Jason Smith,87.4,2.2,1.6,1.5,0.7
Mark Madsen,87.0,2.7,1.9,1.1,1.1
Shelden Williams,87.0,2.2,2,1.2,0.5
