Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Earl Tatum,,4.4,2.6,0.7,0
Matt Carroll,97.2,4.6,2.6,0.7,0
Cory Joseph,93.6,4.5,2.9,0.9,0
Devean George,91.9,4.2,2.7,0.7,-0.3
Keith Jennings,91.7,4.2,2.9,0.6,NA
Kevin Grevey,88.8,4.4,3.4,0.7,0.1
John Bagley,88.7,4.6,3,0.9,-0.2
Pat Connaughton,86.6,3.9,2.5,0.6,-0.2
Darrick Martin,85.8,4.6,1.9,0.5,0.1
Goran Dragić,85.5,5.1,2.8,1,0.1
Ron Sobie,84.7,3.6,2.6,0.9,0.1
