Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Earl Tatum,,4.4,2.6,0.7,0,NA
Keith Jennings,91.7,4.2,2.9,0.6,NA,NA
Pat Connaughton,86.6,3.9,2.5,0.6,-0.2,NA
Seth Curry,85.5,4.6,2.4,1.4,0,0
Ron Sobie,84.7,3.6,2.6,0.9,0.1,NA
Walt Kirk,83.9,5,2.3,0.4,NA,NA
Mike Barrett,83.2,4.9,2.7,-0.1,NA,NA
Billy Ray Bates,82.3,3.6,2.4,0.9,0,NA
Mel Riebe,81.9,4.2,2.2,0,NA,NA
Al Butler,81.0,4.1,2.1,1.1,-0.3,NA
Butch van Breda Kolff,78.7,4.4,2.5,2.3,0.2,NA
