Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tim McCormick,,6,4.6,3.9,3.8,2,1.1,0.2,-0.1
Nenad Krstić,89.9,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA
Jack Nichols,88.7,6.7,4.4,4.3,4.1,2.5,1.6,0.3,NA
Cody Zeller,86.8,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA
Jason Collins,86.5,4.9,4.7,3.9,3,2,0.6,0.1,-0.2
JaVale McGee,85.5,5.3,4.9,4.1,2.1,2,1.1,0.4,-0.1
Randy Denton,84.4,5.5,4.3,3.9,3.1,3,0.4,NA,NA
Sam Bowie,84.2,5.7,4.7,4.6,4.3,2.6,2.4,0.5,0.1
Kosta Koufos,83.7,6.5,3.5,3.5,3.3,2.7,1.3,0.2,0
Chris Andersen,83.2,5.9,5.4,4.5,2.4,1.3,1.1,0.3,0
Nazr Mohammed,83.0,4.6,4.5,3.7,3.3,2.5,0.4,0,-0.1
