Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bill Garnett,,3.9,3.5,2,1.5,NA,NA
Eddie Griffin,91.1,3.9,3.2,2.4,1.5,-0.2,NA
Reggie Johnson,90.9,3.9,3,2.4,1.6,NA,NA
Bob Doll,90.2,4,2.8,1.8,1.6,NA,NA
Collis Jones,90.1,4.2,3.2,2.1,1.2,NA,NA
Frank Kaminsky,89.9,3.6,3.3,2.3,1.8,NA,NA
Dwight Davis,89.2,3.7,3.3,2.3,1.5,0.6,NA
Derrek Dickey,88.1,3.8,3.1,2.3,1.7,0.3,NA
Richard Washington,87.4,3.9,3.2,2.1,2,0,-0.5
Nemanja Bjelica,87.0,4.5,2.8,1.9,1.5,NA,NA
Richaun Holmes,86.9,4.3,3.8,2.8,1.5,NA,NA
