Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bill Garnett,,3.9,3.5,2,1.5
Mike O'Koren,93.9,4.1,3.8,2,1.5
Stacey King,93.7,3.6,3.1,1.9,1.5
Dwight Davis,93.4,3.7,3.3,2.3,1.5
Andrea Bargnani,93.1,4.2,3.9,1.9,1.4
Eddie Griffin,92.5,3.9,3.2,2.4,1.5
Jonas Jerebko,92.5,4.4,3.3,2,1.4
T.J. Warren,92.2,4.1,3.4,2.2,1.1
Danny Fortson,91.9,4.4,3.5,1.9,1.1
Dante Cunningham,91.6,3.5,3.4,2,1.9
Reggie Johnson,90.9,3.9,3,2.4,1.6
