Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,23,NYK,NBA,SF,10,NA,108,20,39,0.513,12,16,0.75,NA,NA,17,3,NA,NA,27,52
1969-70,24,NYK,NBA,SG,19,NA,296,53,109,0.486,25,35,0.714,NA,NA,46,27,NA,NA,33,131
1970-71,25,NYK,NBA,SF,12,NA,168,20,52,0.385,6,8,0.75,NA,NA,30,9,NA,NA,26,46
1971-72,26,BAL,NBA,SF,6,NA,161,33,57,0.579,17,21,0.81,NA,NA,15,11,NA,NA,18,83
1972-73,27,BAL,NBA,SF,5,NA,231,28,62,0.452,19,24,0.792,NA,NA,18,15,NA,NA,16,75
1973-74,28,CAP,NBA,SF,7,NA,267,36,87,0.414,14,16,0.875,7,17,24,17,4,2,28,86
1974-75,29,WSB,NBA,SF,17,NA,378,60,151,0.397,14,18,0.778,12,29,41,27,16,2,49,134
1975-76,30,WSB,NBA,SF,6,NA,31,3,8,0.375,0,0,NA,1,5,6,1,0,0,5,6
1976-77,31,WSB,NBA,SF,2,NA,8,0,2,0,0,0,NA,0,2,2,1,0,0,1,0
Career,NA,,NBA,,84,NA,1648,253,567,0.446,107,138,0.775,20,53,199,111,20,4,203,613
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,"BAL,CAP,WSB",NBA,,43,NA,1076,160,367,0.436,64,79,0.81,20,53,106,72,20,4,117,384
3 seasons,NA,NYK,NBA,,41,NA,572,93,200,0.465,43,59,0.729,NA,NA,93,39,NA,NA,86,229
