,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,23,NYK,NBA,,6,11,7,9,,,6,1,,,4,15
1969-70,24,NYK,NBA,,7,,5,5,,,,,,,,19
1970-71,25,NYK,NBA,,4,9,3,3,,,6,2,,,4,9
1971-72,26,TOT,NBA,,9,13,7,9,,,5,4,,,5,21
1971-72,26,BAL,NBA,,9,13,7,9,,,5,4,,,5,21
1972-73,27,BAL,NBA,,7,14,10,12,,,5,5,,,5,20
1973-74,28,CAP,NBA,,8,20,7,8,,,5,6,,,6,23
1974-75,29,WSB,NBA,,8,16,5,5,,,11,4,,,,21
1975-76,30,WSB,NBA,,2,3,0,0,1,2,3,1,0,0,3,4
1976-77,31,WSB,NBA,,0,2,0,0,0,1,1,1,0,0,1,0
Career,,,,,9,,10,12,,,,,,,,23
6 Seasons,,"BAL,CAP,WSB",NBA,,9,20,10,12,,,11,6,,,,23
3 Seasons,,NYK,NBA,,7,,7,9,,,,,,,,19
