,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,23,NYK,NBA,,7,,4,5,,,,,,,,15
1969-70,24,NYK,NBA,,12,,7,11,,,,,,,,27
1970-71,25,NYK,NBA,,10,,7,8,,,,,,,,24
1971-72,26,TOT,NBA,,14,,6,9,,,,,,,,30
1971-72,26,NYK,NBA,,2,,0,1,,,,,,,,4
1971-72,26,BAL,NBA,,14,,6,9,,,,,,,,30
1972-73,27,BAL,NBA,,15,,7,9,,,,,,,,34
1973-74,28,CAP,NBA,,16,,8,8,,,,,,,,33
1974-75,29,WSB,NBA,,16,,7,8,,,,,,,,39
1975-76,30,WSB,NBA,,10,,5,5,,,,,,,,22
1976-77,31,WSB,NBA,,4,,3,4,,,,,,,,8
Career,,,,,16,,8,11,,,,,,,,39
6 Seasons,,"BAL,CAP,WSB",NBA,,16,,8,9,,,,,,,,39
4 Seasons,,NYK,NBA,,12,,7,11,,,,,,,,27
