Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mike Riordan,,11.1,7,6.1,3.8,2.1,1.7,1.7,-0.1,-0.1
Warren Jabali,89.8,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA
Stu Lantz,86.8,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1,NA
Flynn Robinson,80.5,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA
Derrick Rose,80.5,13.1,6,6,4.9,3,1.2,0.4,-0.2,-0.2
Paul Seymour,80.5,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.4
Micheal Ray Richardson,80.2,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA
Ralph Simpson,80.1,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.2,-0.2
Mo Williams,79.9,9.8,6.7,4.5,3.2,2.8,2.5,2.2,1,0.2
Chuck Williams,79.8,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA
Doug Christie,79.5,8.7,7,5.1,4.2,4,1.4,1.4,0.1,-0.3
