,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1960-61,24,DET,NBA,,14,,9,,,,,33
1961-62,25,DET,NBA,,15,,11,,,,,36
1962-63,26,DET,NBA,,18,,11,,,,,43
1963-64,27,DET,NBA,,15,,8,12,,,,34
1964-65,28,BAL,NBA,,19,,11,13,,,,42
1965-66,29,BAL,NBA,,15,,15,19,,,,39
1966-67,30,BAL,NBA,,17,,13,17,,,,43
1967-68,31,TOT,NBA,,15,,10,13,,,,37
1967-68,31,BAL,NBA,,15,,10,13,,,,37
1967-68,31,STL,NBA,,14,24,7,9,5,7,6,29
1968-69,32,ATL,NBA,,11,,10,12,,,,27
1969-70,33,ATL,NBA,,9,,4,5,,,,19
Career,,,,,19,,15,,,,,43
4 Seasons,,DET,NBA,,18,,11,,,,,43
4 Seasons,,BAL,NBA,,19,,15,19,,,,43
3 Seasons,,"ATL,STL",NBA,,14,,10,12,,,,29
