,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1960-61,24,DET,NBA,,8,,4,5,,,5,20
1961-62,25,DET,NBA,,15,,5,5,,,,33
1962-63,26,DET,NBA,,13,29,9,10,4,6,5,32
1964-65,28,BAL,NBA,,14,30,9,11,9,4,6,34
1965-66,29,BAL,NBA,,15,32,8,11,8,4,6,38
1967-68,31,TOT,NBA,,10,21,6,7,4,5,6,26
1967-68,31,STL,NBA,,10,21,6,7,4,5,6,26
1968-69,32,ATL,NBA,,7,14,4,6,5,4,4,16
Career,,,,,15,,9,11,,,,38
2 Seasons,,"ATL,STL",NBA,,10,21,6,7,5,5,6,26
3 Seasons,,DET,NBA,,15,,9,10,,,,33
2 Seasons,,BAL,NBA,,15,32,9,11,9,4,6,38
