Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Don Ohl,,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8
Ramon Sessions,91.3,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.9,0.7
Allen Leavell,90.8,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1
Tyreke Evans,90.1,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3
Sherman Douglas,89.9,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,-0.1
Jason Williams,89.9,5.4,4.8,4.7,4.3,4.3,3.8,2.1,2.1,1.5,0.9
Eric Gordon,89.5,5.3,4.7,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Bob Weiss,88.9,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.1,0.1,0
T.R. Dunn,88.1,4.9,4.4,4.4,4.1,4,3.7,3.3,2.4,1.6,1.6
Matt Guokas,87.6,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3
Jarrett Jack,87.5,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2
