Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bryant Reeves,,4.9,2.9,2.4,2.3,0.6,-0.1
Spencer Hawes,88.7,4.5,2.9,2.4,2.1,0.8,0.6
Dean Garrett,82.9,6.2,2.9,2.2,1.9,1,-0.1
Melvin Turpin,82.4,6,3.1,2.1,1.8,0.8,NA
Dan Gadzuric,80.9,5.2,3.7,2.5,1.2,0.8,0.1
Otto Moore,80.1,4.7,3.5,2.4,2.3,1.8,0.9
Chris Kaman,79.7,6.1,3.6,2.9,2.1,0.6,0
Todd MacCulloch,79.1,5.6,2.5,2.2,1.7,NA,NA
Randy Breuer,78.8,5.1,4.5,3,2.4,0.9,0.3
Kurt Nimphius,78.0,4.8,3.3,3.1,2.9,1.5,0.7
Mark West,78.0,5.5,3.1,1.9,1.1,0.9,-0.1
