Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Bryant Reeves,,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA,NA,NA
Dean Garrett,82.9,6.2,2.9,2.2,1.9,1,-0.1,NA,NA,NA,NA
Melvin Turpin,82.4,6,3.1,2.1,1.8,0.8,NA,NA,NA,NA,NA
Lee Davis,79.5,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA
Todd MacCulloch,79.1,5.6,2.5,2.2,1.7,NA,NA,NA,NA,NA,NA
Willie Sojourner,77.6,3.5,3,2.4,1.9,NA,NA,NA,NA,NA,NA
George Peeples,77.5,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA,NA
Alex Len,77.4,4.5,3.4,3.2,3,1.3,0.2,NA,NA,NA,NA
Kleggie Hermsen,77.3,4.3,3,2.9,1.9,-0.5,NA,NA,NA,NA,NA
Kim Hughes,76.5,6.8,2.3,2.2,2.2,0.4,-0.1,NA,NA,NA,NA
Dan Gadzuric,76.0,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0
