Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Devin Booker,,3.5,2.4,2,1.9,NA,NA,NA
Pablo Prigioni,83.8,3.4,3.2,2.3,1.5,NA,NA,NA
Jordan Clarkson,82.8,3,2.4,2.1,1.8,1.2,NA,NA
Jerian Grant,82.1,3.3,2.5,1.7,0.8,NA,NA,NA
Khalid Reeves,82.1,3.5,2.5,1.2,1.1,0.1,0,NA
George Dempsey,81.7,3.5,2.2,2.1,1.5,1.4,NA,NA
Sonny Hertzberg,81.7,4,2.5,2.3,1.4,0.7,NA,NA
Larry Wright,80.7,3.5,2.7,1.8,1.4,1.2,0,NA
Bill Gabor,80.6,3.5,2.9,2.8,1.5,0.5,0,NA
Gary Neal,80.5,3.5,2.5,1.9,1.4,1,0.6,-0.1
Roger Phegley,80.1,3.7,2.6,1.6,0.8,0,-0.1,NA
