Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Devin Booker,,3.5,2.4,2,1.9
Greg Buckner,93.2,3.1,2.3,2,1.8
Steve Colter,91.0,3.3,2.6,2.3,1.7
Larry Wright,90.9,3.5,2.7,1.8,1.4
Rod Thorn,90.2,3.4,2.9,2.3,2.1
Gerald Henderson,89.5,3.6,2.3,1.7,1.3
Spud Webb,88.8,3.5,2.3,2.2,1.2
Darrell Walker,88.7,3.8,2.8,2.3,2.1
Gary Neal,88.2,3.5,2.5,1.9,1
Quintin Dailey,87.1,3.7,2.6,2.1,1
Eric Piatkowski,87.0,3.9,2.3,2,1.2
