,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1993-94,19,ILLINOIS,28,891,133,307,29,87,151,188,,98,107,33,1,78,59,446,.433,.333,.803,31.8,15.9,3.5,3.8
1994-95,20,ILLINOIS,31,1038,150,342,46,119,148,178,,88,117,36,0,75,74,494,.439,.387,.831,33.5,15.9,2.8,3.8
1995-96,21,ILLINOIS,25,785,118,316,38,117,112,130,,86,98,42,0,35,47,386,.373,.325,.862,31.4,15.4,3.4,3.9
1996-97,22,ILLINOIS,32,1089,171,428,76,197,204,245,,113,180,52,2,81,77,622,.400,.386,.833,34.0,19.4,3.5,5.6
Career,,,116,3803,572,1393,189,520,615,741,,385,502,163,3,269,257,1948,.411,.363,.830,32.8,16.8,3.3,4.3
