Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ansu Sesay,,0.8,0.5,0.2,-0.1
Bill Curley,83.3,0.7,0.5,0.2,0
Jerrod Mustaf,80.7,0.8,0.5,0.4,0
Hank McDowell,80.0,0.7,0.4,0.2,0.1
Christian Wood,78.9,0.8,0.3,0.3,NA
Bob Peterson,77.3,0.9,0.4,0.2,NA
Cal Bowdler,77.0,1,0.5,0.2,NA
Jackie Moore,76.3,0.9,0.5,NA,NA
Jamie Watson,75.6,0.8,0.3,0.1,0
Michael Smith,75.1,0.7,0.3,0.3,NA
Timothé Luwawu-Cabarrot,73.3,0.8,0.8,0.2,NA
