Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ansu Sesay,,0.8,0.5,0.2,-0.1,NA
Jerrod Mustaf,80.7,0.8,0.5,0.4,0,NA
Christian Wood,78.9,0.8,0.3,0.3,NA,NA
Bob Peterson,77.3,0.9,0.4,0.2,NA,NA
Cal Bowdler,77.0,1,0.5,0.2,NA,NA
Jackie Moore,76.3,0.9,0.5,NA,NA,NA
Jamie Watson,75.6,0.8,0.3,0.1,0,NA
Bill Curley,75.1,0.7,0.5,0.2,0.2,0
Michael Smith,75.1,0.7,0.3,0.3,NA,NA
Timothé Luwawu-Cabarrot,73.3,0.8,0.8,0.2,NA,NA
Gene Guarilia,72.9,0.7,0.5,0.3,-0.2,NA
