Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Don Ford,,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
Scott Padgett,94.0,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Derrick Williams,90.9,3.6,3,2.6,2.1,1.8,1.1,0,NA
Mike Muscala,90.4,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Lawrence Funderburke,90.2,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA
Lavoy Allen,89.3,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA
Mike Scott,88.8,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
Mark Landsberger,87.1,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
E.C. Coleman,86.7,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Tim Bassett,86.4,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA
Lew Hitch,85.9,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
