Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Don Ford,,3.5,2.8,2.5,2,1.5,0.6,-0.1
Scott Padgett,94.5,3.5,2.8,2.5,1.9,1.8,0.4,0.1
Sidney Green,93.9,3.4,2.7,2.5,2,1.7,0.6,0.3
Derrick Williams,90.9,3.6,3,2.6,2.1,1.8,1.1,0
Duane Ferrell,90.4,3.5,3.2,2.8,1.9,1.2,0.4,-0.1
Mike Muscala,90.4,3.4,2.5,2.4,1.9,1.6,0.2,NA
Lawrence Funderburke,90.2,3.7,3.1,2.1,1.9,1.6,0.5,0.1
Lavoy Allen,89.3,3.7,2.8,2.5,1.7,1.6,1.5,NA
Mike Scott,88.8,3.2,2.7,2.6,2.5,1.6,0.9,-0.1
Luke Walton,87.6,3.8,3.2,2,2,1.6,0.5,0.3
Brad Lohaus,87.5,3.3,2.7,2.7,1.8,0.9,0.9,0.1
