Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Martell Webster,,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0
Delonte West,89.7,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA
Quinn Buckner,87.6,5.4,4.6,4.4,3.2,2,1.6,1.5,1.3,0.5,0.2
Chris Duhon,86.6,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1,0.2,NA
Isaiah Rider,85.9,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA
Anthony Parker,85.0,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0,NA
Craig Hodges,84.7,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5
Patty Mills,84.5,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0
Earl Boykins,84.2,6,4.5,4.1,3.5,2.9,1,0.8,0.3,0,-0.3
Larry Steele,84.0,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA
Darwin Cook,83.8,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA
