Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Tom Chambers,,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,0.1,-0.4,NA,NA,NA,NA,NA
Luol Deng,90.8,11.3,9.9,6.5,6.4,6.3,5.9,5.8,5.4,4.5,4.4,3,3,0.9,0.8,0,NA,NA,NA,NA,NA,NA
Charles Oakley,89.3,10.5,8.9,7.3,7,6.7,6.2,6,5.7,5.7,5.6,4.5,3.7,3.5,3.3,2.2,2.1,0.9,0.1,-0.5,NA,NA
Zach Randolph,89.2,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.2,3.1,3,3,2.1,1.5,1.3,0.5,NA,NA,NA,NA
Shane Battier,88.9,9.1,9,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Kirilenko,88.1,11.6,9.2,7.9,7.3,7.1,6,6,5.5,4.6,4.5,4.4,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA
Antonio McDyess,87.0,9.4,7.8,6.7,6.2,6,5.7,5.6,4.6,4.2,3.6,3.2,3,1.8,1.2,0.8,NA,NA,NA,NA,NA,NA
Kevin Willis,86.2,10.2,8.8,8.6,6,6,4.7,4.7,4.4,4.2,3.8,3.6,3.1,2.7,2.4,2.3,2.2,1.7,1.6,0.9,0,0
Maurice Lucas,86.1,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4,3.5,2.5,2.4,2.4,2.3,NA,NA,NA,NA,NA,NA,NA
Clifford Robinson,85.9,9.6,8.7,8,7.5,7.1,6.8,6.6,5.4,5.3,4.6,4.4,4.3,4.2,2.8,2,1.7,0.3,0.3,NA,NA,NA
Nenê Hilário,84.7,10.8,9.6,9.3,6.1,5.3,5,4.1,4,3.2,3.2,3,2.7,2.7,2.6,1.4,0.3,-0.1,NA,NA,NA,NA
