Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jim Cleamons,,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1
Sedale Threatt,90.6,7.3,4.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
Charlie Ward,90.4,7.1,5.5,3.9,3.7,3.6,3.1,1.9,1,-0.2
Gerald Henderson,90.2,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3
John Salmons,88.9,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.4,0.6
Travis Best,88.4,7.2,5.1,4.1,3.4,3.3,2.1,1.8,0.7,0.7
Voshon Lenard,88.3,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3
Lester Conner,88.2,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.7,0.5
J.R. Smith,87.2,6.7,5.8,5,3.7,3.7,2.7,2.5,1.2,0.2
Jrue Holiday,86.8,7.1,5.7,4.2,3.8,3.4,3.4,3.3,1.5,1.2
Foots Walker,86.7,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5
