Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2002-03,22,TOT,NBA,SG,19,0,111,5.2,17.5,0.297,2.4,6.6,0.357,2.8,10.9,0.261,1.4,1.9,0.75,0.5,3.3,3.8,5.7,0.9,0.5,0.9,3.8,14.2,NA,92,107
2002-03,22,DAL,NBA,SG,13,0,37,5.6,23.8,0.235,1.4,4.2,0.333,4.2,19.6,0.214,2.8,2.8,1,0,2.8,2.8,2.8,1.4,1.4,2.8,2.8,15.4,NA,66,106
2002-03,22,DEN,NBA,SG,6,0,74,5,14.3,0.35,2.9,7.8,0.364,2.1,6.4,0.333,0.7,1.4,0.5,0.7,3.6,4.3,7.1,0.7,0,0,4.3,13.5,NA,117,107
Career,NA,,NBA,,19,0,111,5.2,17.5,0.297,2.4,6.6,0.357,2.8,10.9,0.261,1.4,1.9,0.75,0.5,3.3,3.8,5.7,0.9,0.5,0.9,3.8,14.2,NA,92,107
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DAL,NBA,,13,0,37,5.6,23.8,0.235,1.4,4.2,0.333,4.2,19.6,0.214,2.8,2.8,1,0,2.8,2.8,2.8,1.4,1.4,2.8,2.8,15.4,NA,66,106
1 season,NA,DEN,NBA,,6,0,74,5,14.3,0.35,2.9,7.8,0.364,2.1,6.4,0.333,0.7,1.4,0.5,0.7,3.6,4.3,7.1,0.7,0,0,4.3,13.5,NA,117,107
