Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Joe Hassett,,2,1.6,1.4,0.9,0.5,0,NA
Dave Wohl,88.1,2.1,1.7,1.4,1,0.2,0,-0.2
Nelson Bobb,83.5,2,1.8,1.2,1.1,NA,NA,NA
Juan Dixon,82.7,2,1.7,1.4,1.2,0.4,0.1,-0.5
Todd Lichti,82.5,1.8,1.3,1.2,1,0.2,NA,NA
Mike Barr,82.4,2.7,1.7,1.4,0.7,0.4,NA,NA
Jerry Fleishman,80.1,2.2,2.1,1.6,1.3,0.6,NA,NA
Med Park,79.6,1.9,1.9,1.8,1.6,0.4,NA,NA
Brian Roberts,79.4,2.2,2.2,1.8,1,0.2,NA,NA
Rex Walters,79.1,1.6,1.6,1.2,0.9,0.5,0.4,0.3
Tim Frazier,79.0,2.4,2,1.4,1,-0.1,NA,NA
