Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Joe Hassett,,2,1.6,1.4,0.9,0.5,0
Dave Wohl,90.6,2.1,1.7,1.4,1,0.2,0
Juan Dixon,89.4,2,1.7,1.4,1.2,0.4,0.1
Dion Waiters,85.1,2.1,1.6,1.6,1.1,0.9,0.1
Al Bianchi,84.2,2.4,1.8,1.5,0.8,0.8,-0.1
Nelson Bobb,83.5,2,1.8,1.2,1.1,NA,NA
John Wetzel,83.1,2,1.5,1.1,0.7,0.5,0.5
Si Green,83.0,2.6,1.6,1,0.8,0.4,NA
Todd Lichti,82.5,1.8,1.3,1.2,1,0.2,NA
Mike Barr,82.4,2.7,1.7,1.4,0.7,0.4,NA
Rex Walters,82.1,1.6,1.6,1.2,0.9,0.5,0.4
