Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jayson Williams,,8.4,3.8,2.2,2.1,1.8,1.7,0.2,0.1,-0.3
Jason Maxiell,80.3,6.3,4.1,2.6,1.8,1.8,1.7,0.5,0.3,-0.2
Tyler Zeller,75.5,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA
John Brisker,75.1,8.2,6.3,3.1,2.3,1.7,0.5,NA,NA,NA
Tiago Splitter,75.1,8.2,4.6,4.3,4,2.3,1.7,0.1,NA,NA
Pervis Ellison,73.9,6.9,4,3.9,2.6,1.8,1.1,0.7,0.4,0
Bison Dele,73.5,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA
J.J. Hickson,73.4,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,NA
Ronald Franz,71.7,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA
Andrés Nocioni,71.7,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA
Joe Graboski,71.6,7.2,5.8,2.3,2,1.1,0.9,0.7,0.6,-0.1
