Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jayson Williams,,8.4,3.8,2.2,2.1,1.8,1.7,0.2,0.1,-0.3,NA,NA
Tyler Zeller,75.5,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA,NA
John Brisker,75.1,8.2,6.3,3.1,2.3,1.7,0.5,NA,NA,NA,NA,NA
Tiago Splitter,75.1,8.2,4.6,4.3,4,2.3,1.7,0.1,NA,NA,NA,NA
Jason Maxiell,74.7,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,NA
Bison Dele,73.5,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA
J.J. Hickson,73.4,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,NA,NA,NA
Pervis Ellison,72.4,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0
Ronald Franz,71.7,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA,NA,NA
Andrés Nocioni,71.7,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA
Les Hunter,71.5,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,NA,NA,NA,NA
