Season,Team,Lg,Salary
1985-86,Sacramento Kings,NBA,"$450,000"
1987-88,Sacramento Kings,NBA,"$575,000"
1988-89,Sacramento Kings,NBA,"$725,000"
1990-91,Boston Celtics,NBA,"$850,000"
1991-92,Boston Celtics,NBA,"$950,000"
1992-93,Boston Celtics,NBA,"$1,150,000"
1993-94,Phoenix Suns,NBA,"$650,000"
1994-95,Phoenix Suns,NBA,"$845,000"
1995-96,Phoenix Suns,NBA,"$1,040,000"
1996-97,Phoenix Suns,NBA,"$1,235,000"
1997-98,Chicago Bulls,NBA,"$272,250"
1998-99,Phoenix Suns,NBA,"$1,000,000"
1999-00,Portland Trail Blazers,NBA,"$510,000"
2000-01,Indiana Pacers,NBA,"$1,200,000"
Career,(may be incomplete),,"$11,452,250"
