Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bobby Phills,,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1
Charlie Ward,90.9,7.1,5.5,3.9,3.7,3.6,3.1,1.9,1,-0.2
Travis Best,90.7,7.2,5.1,4.1,3.4,3.3,2.1,1.8,0.7,0.7
Bonzi Wells,88.0,6,5.9,4,3.4,3.1,3.1,0.9,0.1,-0.1
Ricky Davis,87.0,5.7,5,4.4,4.2,3,2.8,1.1,0.2,0.2
Odie Spears,86.7,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA
John Salmons,86.5,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.4,0.6
Sedale Threatt,86.5,7.3,4.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
Jim Cleamons,86.4,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1
Larry Drew,86.2,7.2,4.6,3.6,3,2.8,1.4,1.2,0.1,0
Raja Bell,86.1,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.1,-0.1
