Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bobby Phills,,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA,NA,NA
Travis Best,87.2,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA,NA
Odie Spears,86.7,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA,NA,NA
Jim Cleamons,86.4,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA,NA,NA
Voshon Lenard,85.6,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3,0.1,-0.1,NA
Larry Drew,84.9,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0,NA,NA
John Williamson,84.0,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,NA,NA,NA,NA
Bill Keller,83.7,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA,NA,NA,NA
Ricky Davis,83.5,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Reggie Jackson,83.4,6.9,5,4.9,4.9,2.5,2,1.9,0.1,NA,NA,NA,NA
Bonzi Wells,83.1,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1,NA,NA
