Season,Team,Lg,Salary
1991-92,Milwaukee Bucks,NBA,"$130,000"
1992-93,Cleveland Cavaliers,NBA,"$250,000"
1993-94,Cleveland Cavaliers,NBA,"$313,000"
1994-95,Cleveland Cavaliers,NBA,"$1,458,000"
1995-96,Cleveland Cavaliers,NBA,"$1,658,000"
1996-97,Cleveland Cavaliers,NBA,"$1,808,000"
1997-98,Charlotte Hornets,NBA,"$2,900,000"
1998-99,Charlotte Hornets,NBA,"$3,480,000"
1999-00,Charlotte Hornets,NBA,"$4,060,000"
2000-01,Charlotte Hornets,NBA,"$4,640,000"
2001-02,Charlotte Hornets,NBA,"$5,220,000"
Career,(may be incomplete),,"$25,917,000"
