Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mamadou N'Diaye,,0.8,0.6,0.3,0.2,0
Roger Brown,77.1,0.9,0.7,0.4,0.2,0.1
Dave Newmark,74.6,0.8,0.7,0.4,NA,NA
Hamed Haddadi,73.2,0.6,0.6,0.4,0.1,0
Greg Dreiling,70.2,1.1,0.4,0.2,0.2,0.1
Keith Closs,70.1,1.1,0.6,0.2,NA,NA
Todd Fuller,69.7,0.7,0.7,0.6,0.2,0
Shawnelle Scott,68.9,0.5,0.4,0.2,0.2,NA
Jabari Smith,67.8,0.7,0.5,0.2,0,NA
Jawann Oldham,67.7,1,0.5,0.3,0,0
Dave Feitl,66.7,0.5,0.4,0.3,0.2,0.1
