,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,TOT,NBA,,5,,,,,,7,9,,,,,,,10
1964-65,22,LAL,NBA,,3,,,,,,7,9,,,,,,,9
1964-65,22,SFW,NBA,,5,11,,,,,4,4,,,6,2,,4,10
1967-68,25,KEN,ABA,,9,,0,,,,9,11,,,,,,,27
Career,,,TOT,,9,,,,,,9,11,,,,,,,27
,,,NBA,,5,,,,,,7,9,,,,,,,10
,,,ABA,,9,,0,,,,9,11,,,,,,,27
,,,,,,,,,,,,,,,,,,,
1 Season,,KEN,ABA,,9,,0,,,,9,11,,,,,,,27
1 Season,,LAL,NBA,,3,,,,,,7,9,,,,,,,9
1 Season,,SFW,NBA,,5,11,,,,,4,4,,,6,2,,4,10
