Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1964-65,22,TOT,NBA,SF,45,357,9.3,0.408,NA,0.359,NA,NA,NA,7.3,NA,NA,NA,-0.3,0.3,0,-0.001
1964-65,22,LAL,NBA,SF,25,167,6.5,0.373,NA,0.561,NA,NA,NA,7.7,NA,NA,NA,-0.3,0.1,-0.2,-0.049
1964-65,22,SFW,NBA,SF,20,190,11.8,0.434,NA,0.227,NA,NA,NA,6.9,NA,NA,NA,0,0.2,0.2,0.041
1967-68,25,KEN,ABA,SF,39,786,14.2,0.442,0.003,0.531,NA,NA,10.5,8.7,11.5,20.5,NA,0,1,0.9,0.057
Career,NA,,TOT,,84,1143,12.7,0.432,0.002,0.476,NA,NA,10.5,8.2,11.5,20.5,NA,-0.3,1.3,0.9,0.039
,NA,,NBA,,45,357,9.3,0.408,NA,0.359,NA,NA,NA,7.3,NA,NA,NA,-0.3,0.3,0,-0.001
,NA,,ABA,,39,786,14.2,0.442,0.003,0.531,NA,NA,10.5,8.7,11.5,20.5,NA,0,1,0.9,0.057
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,KEN,ABA,,39,786,14.2,0.442,0.003,0.531,NA,NA,10.5,8.7,11.5,20.5,NA,0,1,0.9,0.057
1 season,NA,LAL,NBA,,25,167,6.5,0.373,NA,0.561,NA,NA,NA,7.7,NA,NA,NA,-0.3,0.1,-0.2,-0.049
1 season,NA,SFW,NBA,,20,190,11.8,0.434,NA,0.227,NA,NA,NA,6.9,NA,NA,NA,0,0.2,0.2,0.041
