Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,TOT,NBA,SF,45,NA,357,4.7,14.6,0.324,NA,NA,NA,4.7,14.6,0.324,4.3,5.2,0.827,NA,NA,8.4,1.9,NA,5.7,13.8
1964-65,22,LAL,NBA,SF,25,NA,167,3,12.3,0.246,NA,NA,NA,3,12.3,0.246,5.4,6.9,0.781,NA,NA,7.5,2.2,NA,6.5,11.4
1964-65,22,SFW,NBA,SF,20,NA,190,6.3,16.7,0.375,NA,NA,NA,6.3,16.7,0.375,3.4,3.8,0.9,NA,NA,9.1,1.7,NA,5.1,15.9
1967-68,25,KEN,ABA,SF,39,NA,786,4.9,14,0.348,0,0,0,4.9,13.9,0.349,5.5,7.4,0.747,NA,NA,8.7,2.1,2.2,2.9,15.3
Career,NA,,TOT,,84,NA,1143,4.8,14.2,0.34,0,0,0,4.8,14.1,0.341,5.2,6.7,0.766,NA,NA,8.6,2,2.2,3.8,14.8
,NA,,NBA,,45,NA,357,4.7,14.6,0.324,NA,NA,NA,4.7,14.6,0.324,4.3,5.2,0.827,NA,NA,8.4,1.9,NA,5.7,13.8
,NA,,ABA,,39,NA,786,4.9,14,0.348,0,0,0,4.9,13.9,0.349,5.5,7.4,0.747,NA,NA,8.7,2.1,2.2,2.9,15.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,KEN,ABA,,39,NA,786,4.9,14,0.348,0,0,0,4.9,13.9,0.349,5.5,7.4,0.747,NA,NA,8.7,2.1,2.2,2.9,15.3
1 season,NA,LAL,NBA,,25,NA,167,3,12.3,0.246,NA,NA,NA,3,12.3,0.246,5.4,6.9,0.781,NA,NA,7.5,2.2,NA,6.5,11.4
1 season,NA,SFW,NBA,,20,NA,190,6.3,16.7,0.375,NA,NA,NA,6.3,16.7,0.375,3.4,3.8,0.9,NA,NA,9.1,1.7,NA,5.1,15.9
