Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,TOT,NBA,SF,45,,7.9,1.0,3.2,.324,,,,1.0,3.2,.324,.324,1.0,1.2,.827,,,1.8,0.4,,1.3,3.0
1964-65,22,LAL,NBA,SF,25,,6.7,0.6,2.3,.246,,,,0.6,2.3,.246,.246,1.0,1.3,.781,,,1.4,0.4,,1.2,2.1
1964-65,22,SFW,NBA,SF,20,,9.5,1.7,4.4,.375,,,,1.7,4.4,.375,.375,0.9,1.0,.900,,,2.4,0.5,,1.4,4.2
1965-66,23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1966-67,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1967-68,25,KEN,ABA,SF,39,,20.2,2.7,7.8,.348,0.0,0.0,.000,2.7,7.8,.349,.348,3.1,4.2,.747,,,4.9,1.2,1.3,1.6,8.5
Career,NA,,TOT,,84,,13.6,1.8,5.4,.340,0.0,0.0,.000,1.8,5.3,.341,.340,2.0,2.5,.766,,,3.3,0.8,1.3,1.4,5.6
,NA,,NBA,,45,,7.9,1.0,3.2,.324,,,,1.0,3.2,.324,.324,1.0,1.2,.827,,,1.8,0.4,,1.3,3.0
,NA,,ABA,,39,,20.2,2.7,7.8,.348,0.0,0.0,.000,2.7,7.8,.349,.348,3.1,4.2,.747,,,4.9,1.2,1.3,1.6,8.5
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,NA,KEN,ABA,,39,,20.2,2.7,7.8,.348,0.0,0.0,.000,2.7,7.8,.349,.348,3.1,4.2,.747,,,4.9,1.2,1.3,1.6,8.5
1 season,NA,LAL,NBA,,25,,6.7,0.6,2.3,.246,,,,0.6,2.3,.246,.246,1.0,1.3,.781,,,1.4,0.4,,1.2,2.1
1 season,NA,SFW,NBA,,20,,9.5,1.7,4.4,.375,,,,1.7,4.4,.375,.375,0.9,1.0,.900,,,2.4,0.5,,1.4,4.2
