Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,TOT,NBA,SF,45,NA,357,47,145,0.324,NA,NA,NA,47,145,0.324,0.324,43,52,0.827,NA,NA,83,19,NA,57,137
1964-65,22,LAL,NBA,SF,25,NA,167,14,57,0.246,NA,NA,NA,14,57,0.246,0.246,25,32,0.781,NA,NA,35,10,NA,30,53
1964-65,22,SFW,NBA,SF,20,NA,190,33,88,0.375,NA,NA,NA,33,88,0.375,0.375,18,20,0.9,NA,NA,48,9,NA,27,84
1967-68,25,KEN,ABA,SF,39,NA,786,106,305,0.348,0,1,0,106,304,0.349,0.348,121,162,0.747,NA,NA,190,46,49,63,333
Career,NA,,TOT,,84,NA,1143,153,450,0.34,0,1,0,153,449,0.341,0.34,164,214,0.766,NA,NA,273,65,49,120,470
,NA,,NBA,,45,NA,357,47,145,0.324,NA,NA,NA,47,145,0.324,0.324,43,52,0.827,NA,NA,83,19,NA,57,137
,NA,,ABA,,39,NA,786,106,305,0.348,0,1,0,106,304,0.349,0.348,121,162,0.747,NA,NA,190,46,49,63,333
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,KEN,ABA,,39,NA,786,106,305,0.348,0,1,0,106,304,0.349,0.348,121,162,0.747,NA,NA,190,46,49,63,333
1 season,NA,LAL,NBA,,25,NA,167,14,57,0.246,NA,NA,NA,14,57,0.246,0.246,25,32,0.781,NA,NA,35,10,NA,30,53
1 season,NA,SFW,NBA,,20,NA,190,33,88,0.375,NA,NA,NA,33,88,0.375,0.375,18,20,0.9,NA,NA,48,9,NA,27,84
