Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Joel Anthony,,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA,NA
Duane Causwell,88.0,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0,NA
Vitaly Potapenko,85.2,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1,NA
Luc Longley,83.3,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA,NA
Hank Finkel,83.1,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0,NA,NA,NA
Leon Douglas,82.1,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA,NA,NA
Adonal Foyle,80.6,4,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1,0.7,0.3,-0.1
Mike Brown,79.9,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.2,0.1,-0.4,NA
Meyers Leonard,79.3,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA,NA,NA,NA
Nat Clifton,78.9,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA,NA,NA
Jim Barnes,78.6,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA,NA,NA
