Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Joel Anthony,,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2
Duane Causwell,87.9,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0
Vitaly Potapenko,85.8,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1
Adonal Foyle,84.2,4,3.4,2.8,1.9,1.2,1.1,1.1,1,0.7,-0.1
Luc Longley,83.3,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0
Hank Finkel,83.1,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0,NA
Leon Douglas,82.1,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA
Meyers Leonard,79.3,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA,NA
Mike Brown,78.9,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.1,-0.4
Nat Clifton,78.9,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA
Jim Barnes,78.6,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA
