,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,25,MIA,NBA,PF,24,498,,,,43%,57%,-13.6,-4.7,2,8,37,4,20,4,9,4,9
2008-09,26,MIA,NBA,C,65,1048,,,,5%,95%,-3.7,-5.1,12,13,95,8,21,8,66,4,18
2009-10,27,MIA,NBA,C,80,1322,,,,6%,94%,+1.4,-2.3,6,11,111,16,42,5,29,6,22
2010-11,28,MIA,NBA,C,75,1463,,,,3%,97%,+7.0,-2.6,7,6,120,15,21,7,55,1,13
2011-12,29,MIA,NBA,C,64,1349,,,,,100%,+10.3,+6.2,8,16,84,9,34,8,20,3,22
2012-13,30,MIA,NBA,C,62,566,,,,15%,85%,+4.6,-5.2,3,7,20,8,14,2,36,2,5
2013-14,31,TOT,NBA,C,33,186,,,,40%,60%,-4.9,-5.1,0,0,13,2,3,0,6,0,2
2013-14,31,MIA,NBA,C,12,37,,,,9%,91%,+12.1,+6.8,0,0,1,1,0,0,0,0,0
2013-14,31,BOS,NBA,C,21,149,,,,48%,52%,-8.9,-4.0,0,0,12,1,3,0,6,0,2
2014-15,32,DET,NBA,C,49,406,,,,2%,98%,+2.2,+4.0,3,2,35,7,13,0,13,4,4
2015-16,33,DET,NBA,C,19,96,,,,,100%,-7.7,-8.3,1,0,9,1,3,0,2,0,1
2016-17,34,SAS,NBA,C,19,122,,,,18%,82%,-6.2,-14.6,2,0,5,1,2,0,7,0,1
Career,,,NBA,,490,7056,,,,8%,92%,+2.3,-1.6,44,63,529,71,173,34,243,24,97
,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIA,NBA,,382,6283,,,,8%,92%,+2.9,-1.4,38,61,468,61,152,34,215,20,89
2 seasons,,DET,NBA,,68,502,,,,2%,98%,+0.3,+1.7,4,2,44,8,16,0,15,4,5
1 season,,BOS,NBA,,21,149,,,,48%,52%,-8.9,-4.0,0,0,12,1,3,0,6,0,2
1 season,,SAS,NBA,,19,122,,,,18%,82%,-6.2,-14.6,2,0,5,1,2,0,7,0,1
