Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Kleggie Hermsen,,4.3,3,2.9,1.9,-0.5,NA,NA,NA
Willie Sojourner,83.3,3.5,3,2.4,1.9,NA,NA,NA,NA
Noble Jorgensen,83.1,4.8,3.8,3.6,1.8,-0.5,NA,NA,NA
George Peeples,80.9,4.1,3.2,2.1,1.5,0.2,0,NA,NA
Bryant Reeves,77.3,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA
Joe Strawder,75.7,4.3,3.6,3,NA,NA,NA,NA,NA
Chris Mihm,74.0,4,3.6,2.9,1.3,0.9,0.7,0.1,0
Alex Len,73.7,4.5,3.4,3.2,3,1.3,0.2,NA,NA
Boban Marjanović,72.8,3.4,3,1.7,1.5,NA,NA,NA,NA
Todd MacCulloch,72.1,5.6,2.5,2.2,1.7,NA,NA,NA,NA
Lee Davis,71.7,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1
