,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,23,TOT,BAA,,10,,7,,,,,24
1946-47,23,CLR,BAA,,4,,1,,,,,9
1946-47,23,TRH,BAA,,10,,7,,,,,24
1947-48,24,BLB,BAA,,10,,9,,,,,24
1948-49,25,WSC,BAA,,12,,12,16,,,,33
1949-50,26,CHS,NBA,,8,,11,12,,,,22
1950-51,27,TOT,NBA,,9,,8,,,,,23
1950-51,27,TRI,NBA,,9,,8,,,,,18
1950-51,27,BOS,NBA,,8,,7,8,,,,23
1952-53,29,TOT,NBA,,2,,1,2,,,3,5
1952-53,29,BOS,NBA,,0,,1,2,,1,3,1
1952-53,29,INO,NBA,,2,,1,2,,,3,5
Career,,,TOT,,12,,12,,,,,33
,,,NBA,,9,,11,,,,,23
,,,BAA,,12,,12,,,,,33
,,,,,,,,,,,,
1 Season,,CHS,NBA,,8,,11,12,,,,22
1 Season,,WSC,BAA,,12,,12,16,,,,33
1 Season,,TRI,NBA,,9,,8,,,,,18
1 Season,,BLB,BAA,,10,,9,,,,,24
2 Seasons,,BOS,NBA,,8,,7,8,,,,23
1 Season,,TRH,BAA,,10,,7,,,,,24
1 Season,,CLR,BAA,,4,,1,,,,,9
1 Season,,INO,NBA,,2,,1,2,,,3,5
