Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,23,TOT,BAA,NA,32,NA,NA,0.335,0.284,NA,NA,NA,NA,NA,1.3,0.6,1.9,NA
1946-47,23,CLR,BAA,NA,11,NA,NA,0.292,0.224,NA,NA,NA,NA,NA,0,0.1,0.1,NA
1946-47,23,TRH,BAA,NA,21,NA,NA,0.344,0.297,NA,NA,NA,NA,NA,1.3,0.4,1.8,NA
1947-48,24,BLB,BAA,NA,48,NA,NA,0.332,0.297,NA,NA,NA,NA,NA,1.6,1.3,2.9,NA
1948-49,25,WSC,BAA,NA,60,NA,NA,0.38,0.392,NA,NA,NA,NA,NA,1.3,3,4.3,NA
1949-50,26,CHS,NBA,NA,67,NA,NA,0.377,0.402,NA,NA,NA,NA,NA,-0.2,3.3,3,NA
1950-51,27,TOT,NBA,NA,71,NA,NA,0.356,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,27,TRI,NBA,NA,48,NA,NA,0.358,0.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,27,BOS,NBA,NA,23,NA,NA,0.35,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-53,29,TOT,NBA,NA,10,62,-6.2,0.166,0.161,NA,NA,NA,NA,NA,-0.6,0.1,-0.5,-0.418
1952-53,29,BOS,NBA,NA,4,22,-14.2,0.051,0.222,NA,NA,NA,NA,NA,-0.3,0,-0.2,-0.518
1952-53,29,INO,NBA,NA,6,40,-1.9,0.214,0.136,NA,NA,NA,NA,NA,-0.4,0.1,-0.3,-0.364
Career,NA,,TOT,NA,288,62,-6.2,0.356,0.351,NA,NA,NA,NA,NA,3.4,8.2,11.6,-0.418
,NA,,NBA,NA,148,62,-6.2,0.362,0.379,NA,NA,NA,NA,NA,-0.8,3.3,2.5,-0.418
,NA,,BAA,NA,140,NA,NA,0.353,0.333,NA,NA,NA,NA,NA,4.3,4.8,9.1,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CHS,NBA,NA,67,NA,NA,0.377,0.402,NA,NA,NA,NA,NA,-0.2,3.3,3,NA
1 season,NA,WSC,BAA,NA,60,NA,NA,0.38,0.392,NA,NA,NA,NA,NA,1.3,3,4.3,NA
1 season,NA,TRI,NBA,NA,48,NA,NA,0.358,0.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,BLB,BAA,NA,48,NA,NA,0.332,0.297,NA,NA,NA,NA,NA,1.6,1.3,2.9,NA
2 seasons,NA,BOS,NBA,NA,27,22,-14.2,0.337,0.255,NA,NA,NA,NA,NA,-0.3,0,-0.2,-0.518
1 season,NA,TRH,BAA,NA,21,NA,NA,0.344,0.297,NA,NA,NA,NA,NA,1.3,0.4,1.8,NA
1 season,NA,CLR,BAA,NA,11,NA,NA,0.292,0.224,NA,NA,NA,NA,NA,0,0.1,0.1,NA
1 season,NA,INO,NBA,NA,6,40,-1.9,0.214,0.136,NA,NA,NA,NA,NA,-0.4,0.1,-0.3,-0.364
