Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kleggie Hermsen,,4.3,3,2.9,1.9,-0.5,NA
Willie Sojourner,83.3,3.5,3,2.4,1.9,NA,NA
Noble Jorgensen,83.1,4.8,3.8,3.6,1.8,-0.5,NA
George Peeples,80.9,4.1,3.2,2.1,1.5,0.2,0
Spencer Hawes,78.3,4.5,2.9,2.4,2.1,0.8,0.6
Luc Longley,78.0,3.5,3.1,2.2,1.8,0.2,0.2
Bryant Reeves,77.3,4.9,2.9,2.4,2.3,0.6,-0.1
Jim Davis,76.4,4.3,3.8,3.5,2.3,0.9,0.2
Joe Strawder,75.7,4.3,3.6,3,NA,NA,NA
Aron Baynes,75.5,4.1,3.9,3,3,0.6,0.1
Chris Mihm,74.5,4,3.6,2.9,1.3,0.9,0.7
