Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Harold Miner,,2.7,2,-0.1,-0.4
Rumeal Robinson,87.7,2.4,1.9,-0.1,-0.6
C.J. Miles,83.5,2.9,1.9,0.3,-0.5
Johnny McCarthy,78.7,2.6,1.9,0.5,-0.1
Avery Bradley,78.2,2.4,1.8,0.4,-0.5
Darrell Armstrong,76.0,2.5,1.8,0.1,0.1
Bob Weiss,75.8,2.9,1.7,0.1,0
Kenny Rollins,75.6,2.6,1.5,0.1,NA
Fred Hoiberg,74.9,2.3,2.1,0.2,0
Vincent Askew,73.5,2.9,2.7,0.2,-0.2
Chris Quinn,73.3,2.6,2.1,0.6,0.1
