Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Harold Miner,,2.7,2,-0.1,-0.4,NA,NA
Kenny Rollins,75.6,2.6,1.5,0.1,NA,NA,NA
Alfred McGuire,70.7,3.4,1.9,0.1,NA,NA,NA
Frank Kudelka,69.9,2.4,1.7,-0.4,NA,NA,NA
Rodney McGruder,69.2,2.9,1.9,0.8,NA,NA,NA
Jim Thomas,68.6,3.5,1.6,0,-0.1,NA,NA
Chris Quinn,67.5,2.6,2.1,0.6,0.1,0.1,-0.2
Rodrigue Beaubois,66.6,2.2,2,0.4,0.2,NA,NA
Bryn Forbes,65.4,3.8,2.1,0.1,NA,NA,NA
Álex Abrines,65.2,2.2,2.1,0.6,NA,NA,NA
Maurice McHartley,65.0,2.4,1.8,0.8,NA,NA,NA
