Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1974-75,21,MIL,NBA,SG,73,NA,1639,6.7,14.7,0.455,3.6,5.3,0.685,1,3.2,4.2,6.3,0.9,0.5,NA,5,17,NA,NA,102
1975-76,22,MIL,NBA,SG,75,NA,1468,7.5,16.3,0.457,5,7.1,0.7,0.8,3.1,3.9,7.7,1.2,0.5,NA,4.3,19.9,NA,NA,103
1976-77,23,TOT,NBA,SG,80,NA,1487,7.4,17.2,0.429,5,6.7,0.744,0.7,3.1,3.8,7,1.1,1.1,NA,5,19.8,NA,NA,104
1976-77,23,MIL,NBA,SG,41,NA,891,6.5,16.1,0.401,5.2,6.8,0.766,0.5,2.7,3.2,5.5,1.1,1.1,NA,4.2,18.2,NA,NA,106
1976-77,23,CLE,NBA,SG,39,NA,596,8.9,19,0.467,4.6,6.5,0.707,1,3.7,4.7,9.3,1.1,1,NA,6.3,22.4,NA,NA,101
1977-78,24,BUF,NBA,SG,13,NA,130,6.4,15.2,0.419,6.4,8.5,0.75,1.1,3.2,4.2,7.1,1.1,1.8,4.2,3.9,19.1,NA,98,106
Career,NA,,NBA,,241,NA,4724,7.2,16.1,0.446,4.6,6.4,0.713,0.9,3.1,4,7,1,0.7,0.1,4.8,18.9,NA,98,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIL,NBA,,189,NA,3998,6.9,15.6,0.443,4.5,6.3,0.712,0.8,3,3.9,6.7,1,0.7,NA,4.6,18.4,NA,NA,103
1 season,NA,CLE,NBA,,39,NA,596,8.9,19,0.467,4.6,6.5,0.707,1,3.7,4.7,9.3,1.1,1,NA,6.3,22.4,NA,NA,101
1 season,NA,BUF,NBA,,13,NA,130,6.4,15.2,0.419,6.4,8.5,0.75,1.1,3.2,4.2,7.1,1.1,1.8,4.2,3.9,19.1,NA,98,106
